<<<<<<< HEAD
state,latitude,longitude,name
AK,63.588753,-154.493062,Alaska
AL,32.318231,-86.902298,Alabama
AR,35.20105,-91.831833,Arkansas
AZ,34.048928,-111.093731,Arizona
CA,36.778261,-119.417932,California
CO,39.550051,-105.782067,Colorado
CT,41.603221,-73.087749,Connecticut
DC,38.905985,-77.033418,District of Columbia
DE,38.910832,-75.52767,Delaware
FL,27.664827,-81.515754,Florida
GA,32.157435,-82.907123,Georgia
HI,19.898682,-155.665857,Hawaii
IA,41.878003,-93.097702,Iowa
ID,44.068202,-114.742041,Idaho
IL,40.633125,-89.398528,Illinois
IN,40.551217,-85.602364,Indiana
KS,39.011902,-98.484246,Kansas
KY,37.839333,-84.270018,Kentucky
LA,31.244823,-92.145024,Louisiana
MA,42.407211,-71.382437,Massachusetts
MD,39.045755,-76.641271,Maryland
ME,45.253783,-69.445469,Maine
MI,44.314844,-85.602364,Michigan
MN,46.729553,-94.6859,Minnesota
MO,37.964253,-91.831833,Missouri
MP,15.14299,-145.62808,Northern Mariana Islands
MS,32.354668,-89.398528,Mississippi
MT,46.879682,-110.362566,Montana
NC,35.759573,-79.0193,North Carolina
ND,47.551493,-101.002012,North Dakota
NE,41.492537,-99.901813,Nebraska
NH,43.193852,-71.572395,New Hampshire
NJ,40.058324,-74.405661,New Jersey
NM,34.97273,-105.032363,New Mexico
NV,38.80261,-116.419389,Nevada
NY,43.299428,-74.217933,New York
OH,40.417287,-82.907123,Ohio
OK,35.007752,-97.092877,Oklahoma
OR,43.804133,-120.554201,Oregon
PA,41.203322,-77.194525,Pennsylvania
PR,18.220833,-66.590149,Puerto Rico
RI,41.580095,-71.477429,Rhode Island
SC,33.836081,-81.163725,South Carolina
SD,43.969515,-99.901813,South Dakota
TN,35.517491,-86.580447,Tennessee
TX,31.968599,-99.901813,Texas
UT,39.32098,-111.093731,Utah
VA,37.431573,-78.656894,Virginia
VT,44.558803,-72.577841,Vermont
WA,47.751074,-120.740139,Washington
WI,43.78444,-88.787868,Wisconsin
WV,38.597626,-80.454903,West Virginia
WY,43.075968,-107.290284,Wyoming
=======
state,latitude,longitude,name,population
AK,63.588753,-154.493062,Alaska,"731,545"
AL,32.318231,-86.902298,Alabama,"4,903,185"
AR,35.20105,-91.831833,Arkansas,"3,017,804"
AZ,34.048928,-111.093731,Arizona,"7,278,717"
CA,36.778261,-119.417932,California,"39,512,223"
CO,39.550051,-105.782067,Colorado,"5,758,736"
CT,41.603221,-73.087749,Connecticut,"3,565,287"
DC,38.905985,-77.033418,District of Columbia,"705,749"
DE,38.910832,-75.52767,Delaware,"973,764"
FL,27.664827,-81.515754,Florida,"21,477,737"
GA,32.157435,-82.907123,Georgia,"10,617,423"
HI,19.898682,-155.665857,Hawaii,"1,415,872"
IA,41.878003,-93.097702,Iowa,"3,155,070"
ID,44.068202,-114.742041,Idaho,"1,787,065"
IL,40.633125,-89.398528,Illinois,"12,671,821"
IN,40.551217,-85.602364,Indiana,"6,732,219"
KS,39.011902,-98.484246,Kansas,"2,913,314"
KY,37.839333,-84.270018,Kentucky,"4,467,673"
LA,31.244823,-92.145024,Louisiana,"4,648,794"
MA,42.407211,-71.382437,Massachusetts,"6,892,503"
MD,39.045755,-76.641271,Maryland,"6,045,680"
ME,45.253783,-69.445469,Maine,"1,344,212"
MI,44.314844,-85.602364,Michigan,"9,986,857"
MN,46.729553,-94.6859,Minnesota,"5,639,632"
MO,37.964253,-91.831833,Missouri,"6,137,428"
MP,,,,0
MS,32.354668,-89.398528,Mississippi,"2,976,149"
MT,46.879682,-110.362566,Montana,"1,068,778"
NC,35.759573,-79.0193,North Carolina,"10,488,084"
ND,47.551493,-101.002012,North Dakota,"762,062"
NE,41.492537,-99.901813,Nebraska,"1,934,408"
NH,43.193852,-71.572395,New Hampshire,"1,359,711"
NJ,40.058324,-74.405661,New Jersey,"8,882,190"
NM,34.97273,-105.032363,New Mexico,"2,096,829"
NV,38.80261,-116.419389,Nevada,"3,080,156"
NY,43.299428,-74.217933,New York,"19,453,561"
OH,40.417287,-82.907123,Ohio,"11,689,100"
OK,35.007752,-97.092877,Oklahoma,"3,956,971"
OR,43.804133,-120.554201,Oregon,"4,217,737"
PA,41.203322,-77.194525,Pennsylvania,"12,801,989"
PR,18.220833,-66.590149,Puerto Rico,"3,193,694"
RI,41.580095,-71.477429,Rhode Island,"1,059,361"
SC,33.836081,-81.163725,South Carolina,"5,148,714"
SD,43.969515,-99.901813,South Dakota,"884,659"
TN,35.517491,-86.580447,Tennessee,"6,829,174"
TX,31.968599,-99.901813,Texas,"28,995,881"
UT,39.32098,-111.093731,Utah,"3,205,958"
VA,37.431573,-78.656894,Virginia,"8,535,519"
VT,44.558803,-72.577841,Vermont,"623,989"
WA,47.751074,-120.740139,Washington,"7,614,893"
WI,43.78444,-88.787868,Wisconsin,"5,822,434"
WV,38.597626,-80.454903,West Virginia,"1,792,147"
WY,43.075968,-107.290284,Wyoming,"578,759"
>>>>>>> 7b2b80c1f814f3740a206dbc3c87af0918e4d6a3
